run_dir,run_number,run_index,run_id,method,load,status,start_ts,end_ts,error,monitor_enabled,migrate_enabled,control_run,batch_id,batch_dir,summary_present,summary_path,summary_load_error,excluded,exclude_reason,analysis_note,cutover_ms,cutover_ms_event,cutover_strategy,http_downtime_ms,l4_downtime_ms,vip_http_client_visible_total_down_ms,vip_http_client_visible_down_segments,vip_http_client_visible_outage_span_ms,vip_http_cutover_near_downtime_ms,vip_http_downtime_ms,vip_l4_downtime_ms,vip_http_cutover_gap_ms,vip_l4_cutover_gap_ms,vip_http_downphase_ms,vip_l4_downphase_ms,vip_http_samples_before,vip_http_samples_after,vip_http_transport_err_before,vip_http_transport_err_after,vip_http_non_200_before,vip_http_non_200_after,vip_l4_samples_before,vip_l4_samples_after,vip_l4_up_before,vip_l4_up_after,vip_l4_down_before,vip_l4_down_after,vip_http_segment_start_ms,vip_http_segment_end_ms,precopy_final_dump_ms,precopy_transfer_prepare_ms,precopy_vip_prepare_ms,precopy_dest_container_cleanup_ms,precopy_transfer_to_restore_ms,precopy_restore_call_ms,precopy_transfer_to_restore_exec_ms,precopy_restore_launch_overhead_ms,precopy_restore_exec_ms,precopy_restore_return_overhead_ms,precopy_restore_to_cutover_ms,precopy_restore_exec_to_cutover_ms,precopy_transfer_mode,precopy_transfer_verify_mode,postcopy_restore_to_readiness_ms,postcopy_readiness_gate_ms,postcopy_warmup_duration_ms,postcopy_cutover_duration_ms,postcopy_cutover_to_health_ok_ms,monitor_http_timeout_ms,monitor_l4_timeout_ms,monitor_precision_mode,monitor_burst_window_ms,migration_vip_garp_count,migration_vip_garp_interval_ms,migration_vip_garp_mode,migration_vip_conntrack_clear_src,migration_precopy_image_mode,migration_precopy_pre_dump_rounds,migration_precopy_tcp_established,migration_postcopy_readiness_stable_successes,migration_postcopy_readiness_interval_ms,migration_postcopy_readiness_timeout_ms,migration_postcopy_probe_max_time_s,migration_postcopy_warmup_rounds,migration_postcopy_warmup_interval_ms,migration_postcopy_warmup_max_duration_ms,latency_src_p50_ms,latency_src_avg_ms,latency_dst_p50_ms,latency_dst_avg_ms,latency_vip_p50_ms,latency_vip_avg_ms,stream_disconnects,stream_max_gap_ms,stream_avg_bps,download_bytes_total,download_duration_ms,dl_avg_bps,download_disconnects,download_max_gap_ms,upload_bytes_total,upload_duration_ms,upload_avg_bps,upload_disconnects,upload_max_gap_ms,analyze_rc,latency_delta_dst_src_p50_ms,latency_delta_dst_src_avg_ms,vip_http_client_visible_minus_l4_downtime_ms,vip_http_minus_l4_downtime_ms
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_121742_postcopy_wrk3_d36f71\runs\0001,0001,1,20260511_121742_postcopy_01_5ccb88,postcopy,wrk3,ok,2026-05-11T12:17:42Z,2026-05-11T12:18:25Z,,True,True,False,20260511_121742_postcopy_wrk3_d36f71,/mnt/criu/runs/batches/20260511_121742_postcopy_wrk3_d36f71,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_121742_postcopy_wrk3_d36f71\runs\0001\summary.json,,False,,,1778501891775.0,1778501891775.0,events(offset_corrected),12987.0,3801.0,14492.0,8.0,16313.0,1736.0,1736.0,1311.0,1801.0,52.0,5602.0,1300.0,200.0,168.0,184.0,130.0,0.0,0.0,200.0,168.0,199.0,141.0,1.0,27.0,1778501890128.0,1778501891864.0,,1938.0,,,2965.0,1803.0,,,,,5595.0,,,,4337.0,2644.0,1050.0,2865.0,3530.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,6.95,15.817,3.32,14.734,6.73,16.684,51.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,-3.6300000000000003,-1.0830000000000002,13181.0,425.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_121742_postcopy_wrk3_d36f71\runs\0002,0002,2,20260511_121828_postcopy_02_1fa456,postcopy,wrk3,ok,2026-05-11T12:18:28Z,2026-05-11T12:19:12Z,,True,True,False,20260511_121742_postcopy_wrk3_d36f71,/mnt/criu/runs/batches/20260511_121742_postcopy_wrk3_d36f71,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_121742_postcopy_wrk3_d36f71\runs\0002\summary.json,,False,,,1778501938307.0,1778501938307.0,events(offset_corrected),13495.0,3749.0,15002.0,11.0,16980.0,3267.0,3267.0,1262.0,3318.0,48.0,5706.0,1250.0,200.0,169.0,187.0,105.0,0.0,0.0,200.0,169.0,200.0,143.0,0.0,26.0,1778501936848.0,1778501940115.0,,2224.0,,,3080.0,1868.0,,,,,5516.0,,,,4234.0,2567.0,1072.0,2928.0,3576.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,6.58,15.625,23.45,19.704,9.88,19.549,52.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,16.869999999999997,4.079000000000001,13740.0,2005.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_121742_postcopy_wrk3_d36f71\runs\0003,0003,3,20260511_121914_postcopy_03_e04367,postcopy,wrk3,ok,2026-05-11T12:19:14Z,2026-05-11T12:19:59Z,,True,True,False,20260511_121742_postcopy_wrk3_d36f71,/mnt/criu/runs/batches/20260511_121742_postcopy_wrk3_d36f71,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_121742_postcopy_wrk3_d36f71\runs\0003\summary.json,,False,,,1778501985474.0,1778501985474.0,events(offset_corrected),13906.0,3700.0,14301.0,9.0,16627.0,1839.0,1839.0,1213.0,1428.0,47.0,5714.0,1200.0,199.0,167.0,185.0,80.0,0.0,0.0,200.0,167.0,200.0,142.0,0.0,25.0,1778501981878.0,1778501983717.0,,2055.0,,,3024.0,1937.0,,,,,5578.0,,,,4272.0,2567.0,1085.0,2902.0,3593.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,6.91,16.445,24.965,20.34,23.37,21.641,54.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,18.055,3.8949999999999996,13088.0,626.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_121742_postcopy_wrk3_d36f71\runs\0004,0004,4,20260511_122000_postcopy_04_51796b,postcopy,wrk3,ok,2026-05-11T12:20:00Z,2026-05-11T12:20:45Z,,True,True,False,20260511_121742_postcopy_wrk3_d36f71,/mnt/criu/runs/batches/20260511_121742_postcopy_wrk3_d36f71,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_121742_postcopy_wrk3_d36f71\runs\0004\summary.json,,False,,,1778502030165.0,1778502030165.0,events(offset_corrected),14361.0,3946.0,18798.0,7.0,19787.0,2766.0,2766.0,2010.0,2816.0,49.0,5501.0,2000.0,200.0,183.0,186.0,170.0,0.0,0.0,200.0,182.0,200.0,141.0,0.0,41.0,1778502029913.0,1778502032679.0,,2130.0,,,2984.0,1973.0,,,,,5501.0,,,,4196.0,2645.0,1097.0,3677.0,4323.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,6.49,12.376,2.91,10.342,6.32,14.777,54.0,1.0,117.556,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,-3.58,-2.033999999999999,16788.0,756.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_121742_postcopy_wrk3_d36f71\runs\0005,0005,5,20260511_122046_postcopy_05_e716f3,postcopy,wrk3,ok,2026-05-11T12:20:46Z,2026-05-11T12:21:30Z,,True,True,False,20260511_121742_postcopy_wrk3_d36f71,/mnt/criu/runs/batches/20260511_121742_postcopy_wrk3_d36f71,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_121742_postcopy_wrk3_d36f71\runs\0005\summary.json,,False,,,1778502076285.0,1778502076285.0,events(offset_corrected),14365.0,3597.0,15162.0,6.0,16929.0,3512.0,3512.0,1261.0,3561.0,56.0,5752.0,1250.0,200.0,166.0,185.0,134.0,0.0,0.0,200.0,165.0,200.0,139.0,0.0,26.0,1778502074621.0,1778502078133.0,,2047.0,,,3193.0,2026.0,,,,,5408.0,,,,4193.0,2554.0,990.0,2847.0,3464.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,6.73,14.101,3.47,15.302,5.62,15.772,51.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,-3.2600000000000002,1.2009999999999987,13901.0,2251.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_121742_postcopy_wrk3_d36f71\runs\0006,0006,6,20260511_122131_postcopy_06_f444e2,postcopy,wrk3,ok,2026-05-11T12:21:31Z,2026-05-11T12:22:16Z,,True,True,False,20260511_121742_postcopy_wrk3_d36f71,/mnt/criu/runs/batches/20260511_121742_postcopy_wrk3_d36f71,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_121742_postcopy_wrk3_d36f71\runs\0006\summary.json,,False,,,1778502122461.0,1778502122461.0,events(offset_corrected),14019.0,3850.0,15431.0,11.0,17481.0,1656.0,1656.0,1361.0,569.0,49.0,5557.0,1351.0,200.0,169.0,184.0,128.0,0.0,0.0,200.0,169.0,200.0,141.0,0.0,28.0,1778502120741.0,1778502122397.0,,2247.0,,,3115.0,1937.0,,,,,5623.0,,,,4307.0,2564.0,1087.0,3006.0,3648.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,7.595,18.228,4.41,18.379,6.605,18.183,53.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,-3.1849999999999996,0.1509999999999998,14070.0,295.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_121742_postcopy_wrk3_d36f71\runs\0007,0007,7,20260511_122218_postcopy_07_9a621f,postcopy,wrk3,ok,2026-05-11T12:22:18Z,2026-05-11T12:23:04Z,,True,True,False,20260511_121742_postcopy_wrk3_d36f71,/mnt/criu/runs/batches/20260511_121742_postcopy_wrk3_d36f71,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_121742_postcopy_wrk3_d36f71\runs\0007\summary.json,,False,,,1778502169695.0,1778502169695.0,events(offset_corrected),13761.0,3851.0,16636.0,9.0,18389.0,3572.0,3572.0,1310.0,3630.0,51.0,5654.0,1300.0,199.0,171.0,186.0,129.0,0.0,0.0,200.0,171.0,196.0,144.0,4.0,27.0,1778502167990.0,1778502171562.0,,2269.0,,,3194.0,2053.0,,,,,5493.0,,,,4190.0,2576.0,1107.0,2961.0,3636.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,21.13,21.156,3.925,15.806,8.16,19.717,55.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,-17.205,-5.35,15326.0,2262.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_121742_postcopy_wrk3_d36f71\runs\0008,0008,8,20260511_122305_postcopy_08_525288,postcopy,wrk3,ok,2026-05-11T12:23:05Z,2026-05-11T12:23:51Z,,True,True,False,20260511_121742_postcopy_wrk3_d36f71,/mnt/criu/runs/batches/20260511_121742_postcopy_wrk3_d36f71,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_121742_postcopy_wrk3_d36f71\runs\0008\summary.json,,False,,,1778502217280.0,1778502217280.0,events(offset_corrected),18418.0,4750.0,15929.0,9.0,18225.0,4266.0,4266.0,1311.0,4323.0,48.0,4653.0,1300.0,199.0,170.0,185.0,83.0,0.0,0.0,200.0,170.0,199.0,143.0,1.0,27.0,1778502214901.0,1778502219167.0,,2149.0,,,3085.0,1986.0,,,,,6610.0,,,,5344.0,3507.0,1023.0,3007.0,3658.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,6.135,11.226,23.845,19.616,21.995,20.139,57.0,1.0,111.262,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,17.71,8.389999999999999,14618.0,2955.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_121742_postcopy_wrk3_d36f71\runs\0009,0009,9,20260511_122352_postcopy_09_b41231,postcopy,wrk3,ok,2026-05-11T12:23:53Z,2026-05-11T12:24:37Z,,True,True,False,20260511_121742_postcopy_wrk3_d36f71,/mnt/criu/runs/batches/20260511_121742_postcopy_wrk3_d36f71,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_121742_postcopy_wrk3_d36f71\runs\0009\summary.json,,False,,,1778502262795.0,1778502262795.0,events(offset_corrected),12951.0,3750.0,15166.0,19.0,17674.0,1714.0,1714.0,1511.0,314.0,47.0,5702.0,1500.0,199.0,174.0,173.0,132.0,0.0,0.0,200.0,173.0,199.0,142.0,1.0,31.0,1778502263128.0,1778502264842.0,,2230.0,,,3009.0,1987.0,,,,,5506.0,,,,4160.0,2473.0,1121.0,3142.0,3764.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,7.08,19.087,5.56,18.492,28.46,22.088,52.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,-1.5200000000000005,-0.5949999999999989,13655.0,203.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_121742_postcopy_wrk3_d36f71\runs\0010,0010,10,20260511_122439_postcopy_10_48311a,postcopy,wrk3,ok,2026-05-11T12:24:39Z,2026-05-11T12:25:23Z,,True,True,False,20260511_121742_postcopy_wrk3_d36f71,/mnt/criu/runs/batches/20260511_121742_postcopy_wrk3_d36f71,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_121742_postcopy_wrk3_d36f71\runs\0010\summary.json,,False,,,1778502309541.0,1778502309541.0,events(offset_corrected),14092.0,3901.0,16468.0,5.0,18105.0,5613.0,5613.0,1310.0,5655.0,50.0,5600.0,1299.0,199.0,171.0,185.0,145.0,0.0,0.0,200.0,170.0,199.0,143.0,1.0,27.0,1778502305793.0,1778502311406.0,,2193.0,,,3012.0,1954.0,,,,,5626.0,,,,4232.0,2600.0,1121.0,2913.0,3584.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,6.59,14.463,4.67,16.636,5.62,13.287,52.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,-1.92,2.173,15158.0,4303.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_121742_postcopy_wrk3_d36f71\runs\0011,0011,11,20260511_122525_postcopy_11_03d178,postcopy,wrk3,ok,2026-05-11T12:25:25Z,2026-05-11T12:26:10Z,,True,True,False,20260511_121742_postcopy_wrk3_d36f71,/mnt/criu/runs/batches/20260511_121742_postcopy_wrk3_d36f71,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_121742_postcopy_wrk3_d36f71\runs\0011\summary.json,,False,,,1778502356459.0,1778502356459.0,events(offset_corrected),12761.0,3496.0,10045.0,11.0,16224.0,1162.0,1162.0,1210.0,52.0,51.0,5806.0,1200.0,201.0,164.0,120.0,68.0,0.0,0.0,200.0,165.0,200.0,140.0,0.0,25.0,1778502356974.0,1778502358136.0,,2084.0,,,2915.0,1815.0,,,,,5221.0,,,,4080.0,2395.0,940.0,2893.0,3500.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,7.83,16.761,13.505,18.193,16.135,19.491,54.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,5.675000000000001,1.4320000000000022,8835.0,-48.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_121742_postcopy_wrk3_d36f71\runs\0012,0012,12,20260511_122611_postcopy_12_0afbbd,postcopy,wrk3,ok,2026-05-11T12:26:11Z,2026-05-11T12:26:56Z,,True,True,False,20260511_121742_postcopy_wrk3_d36f71,/mnt/criu/runs/batches/20260511_121742_postcopy_wrk3_d36f71,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_121742_postcopy_wrk3_d36f71\runs\0012\summary.json,,False,,,1778502401203.0,1778502401203.0,events(offset_corrected),13549.0,3798.0,15491.0,10.0,17182.0,4236.0,4236.0,1860.0,4285.0,50.0,5702.0,1849.0,200.0,179.0,188.0,101.0,0.0,0.0,200.0,179.0,200.0,141.0,0.0,38.0,1778502399427.0,1778502403663.0,,2156.0,,,2956.0,1802.0,,,,,5607.0,,,,4335.0,2653.0,1044.0,3497.0,4110.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,6.195,14.949,24.095,20.396,25.295,22.772,53.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,17.9,5.447000000000001,13631.0,2376.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_121742_postcopy_wrk3_d36f71\runs\0013,0013,13,20260511_122657_postcopy_13_00b22f,postcopy,wrk3,ok,2026-05-11T12:26:57Z,2026-05-11T12:27:41Z,,True,True,False,20260511_121742_postcopy_wrk3_d36f71,/mnt/criu/runs/batches/20260511_121742_postcopy_wrk3_d36f71,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_121742_postcopy_wrk3_d36f71\runs\0013\summary.json,,False,,,1778502446935.0,1778502446935.0,events(offset_corrected),13641.0,3751.0,12966.0,22.0,16732.0,1356.0,1356.0,1312.0,97.0,50.0,5852.0,1300.0,200.0,169.0,150.0,133.0,0.0,0.0,200.0,168.0,199.0,141.0,1.0,27.0,1778502447433.0,1778502448789.0,,2139.0,,,2906.0,1854.0,,,,,5380.0,,,,4100.0,2582.0,1032.0,2959.0,3619.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,6.455,12.975,25.56,23.106,21.75,21.187,51.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,19.104999999999997,10.131000000000002,11654.0,44.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_121742_postcopy_wrk3_d36f71\runs\0014,0014,14,20260511_122742_postcopy_14_655f36,postcopy,wrk3,ok,2026-05-11T12:27:42Z,2026-05-11T12:28:26Z,,True,True,False,20260511_121742_postcopy_wrk3_d36f71,/mnt/criu/runs/batches/20260511_121742_postcopy_wrk3_d36f71,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_121742_postcopy_wrk3_d36f71\runs\0014\summary.json,,False,,,1778502492321.0,1778502492321.0,events(offset_corrected),12656.0,3651.0,12251.0,22.0,16817.0,1262.0,1262.0,1260.0,53.0,49.0,5812.0,1250.0,199.0,169.0,141.0,135.0,0.0,0.0,200.0,168.0,199.0,142.0,1.0,26.0,1778502492883.0,1778502494145.0,,2283.0,,,2837.0,1814.0,,,,,5478.0,,,,4155.0,2451.0,1054.0,2898.0,3527.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,23.01,21.519,22.58,21.27,28.3,24.544,51.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,-0.43000000000000327,-0.24899999999999878,10991.0,2.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_121742_postcopy_wrk3_d36f71\runs\0015,0015,15,20260511_122828_postcopy_15_e04cbe,postcopy,wrk3,ok,2026-05-11T12:28:28Z,2026-05-11T12:29:13Z,,True,True,False,20260511_121742_postcopy_wrk3_d36f71,/mnt/criu/runs/batches/20260511_121742_postcopy_wrk3_d36f71,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_121742_postcopy_wrk3_d36f71\runs\0015\summary.json,,False,,,1778502539250.0,1778502539250.0,events(offset_corrected),14244.0,3894.0,14043.0,4.0,16372.0,3687.0,3687.0,1210.0,3738.0,50.0,5558.0,1200.0,200.0,165.0,187.0,45.0,0.0,0.0,200.0,165.0,198.0,140.0,2.0,25.0,1778502537373.0,1778502541060.0,,2138.0,,,2956.0,1808.0,,,,,5526.0,,,,4112.0,2551.0,1195.0,2867.0,3459.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,6.285,13.239,25.61,21.786,25.0,21.388,54.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,19.325,8.547,12833.0,2477.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_121742_postcopy_wrk3_d36f71\runs\0016,0016,16,20260511_122914_postcopy_16_4a8deb,postcopy,wrk3,ok,2026-05-11T12:29:14Z,2026-05-11T12:30:00Z,,True,True,False,20260511_121742_postcopy_wrk3_d36f71,/mnt/criu/runs/batches/20260511_121742_postcopy_wrk3_d36f71,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_121742_postcopy_wrk3_d36f71\runs\0016\summary.json,,False,,,1778502586458.0,1778502586458.0,events(offset_corrected),15399.0,4750.0,17793.0,4.0,19337.0,4755.0,4755.0,1210.0,4851.0,55.0,4713.0,1200.0,200.0,168.0,189.0,136.0,0.0,0.0,200.0,168.0,199.0,143.0,1.0,25.0,1778502581805.0,1778502586560.0,,2501.0,,,3309.0,2081.0,,,,,6424.0,,,,4224.0,2639.0,1991.0,2911.0,3558.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,6.61,13.18,3.965,13.239,5.935,13.155,57.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,-2.6450000000000005,0.05900000000000105,16583.0,3545.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_121742_postcopy_wrk3_d36f71\runs\0017,0017,17,20260511_123001_postcopy_17_77a08b,postcopy,wrk3,ok,2026-05-11T12:30:01Z,2026-05-11T12:30:45Z,,True,True,False,20260511_121742_postcopy_wrk3_d36f71,/mnt/criu/runs/batches/20260511_121742_postcopy_wrk3_d36f71,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_121742_postcopy_wrk3_d36f71\runs\0017\summary.json,,False,,,1778502631427.0,1778502631427.0,events(offset_corrected),14586.0,3901.0,15535.0,6.0,17134.0,2657.0,2657.0,1261.0,2565.0,49.0,5552.0,1250.0,199.0,168.0,185.0,124.0,0.0,0.0,200.0,166.0,200.0,140.0,0.0,26.0,1778502628072.0,1778502630729.0,,2318.0,,,3109.0,1839.0,,,,,5634.0,,,,4341.0,2635.0,1060.0,2943.0,3551.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,6.91,12.46,3.84,17.215,6.395,16.295,53.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,-3.0700000000000003,4.754999999999999,14274.0,1396.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_121742_postcopy_wrk3_d36f71\runs\0018,0018,18,20260511_123047_postcopy_18_d15de6,postcopy,wrk3,ok,2026-05-11T12:30:47Z,2026-05-11T12:31:31Z,,True,True,False,20260511_121742_postcopy_wrk3_d36f71,/mnt/criu/runs/batches/20260511_121742_postcopy_wrk3_d36f71,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_121742_postcopy_wrk3_d36f71\runs\0018\summary.json,,False,,,1778502677417.0,1778502677417.0,events(offset_corrected),13501.0,3851.0,14810.0,9.0,16696.0,2416.0,2416.0,1260.0,2467.0,50.0,5605.0,1250.0,200.0,164.0,186.0,99.0,0.0,0.0,200.0,165.0,200.0,139.0,0.0,26.0,1778502676760.0,1778502679176.0,,2186.0,,,3002.0,1871.0,,,,,5628.0,,,,4299.0,2603.0,1092.0,2817.0,3426.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,7.03,10.952,28.09,22.215,9.32,19.092,51.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,21.06,11.263,13550.0,1156.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_121742_postcopy_wrk3_d36f71\runs\0019,0019,19,20260511_123132_postcopy_19_7b12b7,postcopy,wrk3,ok,2026-05-11T12:31:32Z,2026-05-11T12:32:16Z,,True,True,False,20260511_121742_postcopy_wrk3_d36f71,/mnt/criu/runs/batches/20260511_121742_postcopy_wrk3_d36f71,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_121742_postcopy_wrk3_d36f71\runs\0019\summary.json,,False,,,1778502722207.0,1778502722207.0,events(offset_corrected),13387.0,3850.0,14903.0,7.0,16689.0,2916.0,2916.0,1160.0,2963.0,51.0,5605.0,1150.0,199.0,167.0,187.0,129.0,0.0,0.0,200.0,166.0,200.0,142.0,0.0,24.0,1778502721021.0,1778502723937.0,,2068.0,,,2923.0,1883.0,,,,,5475.0,,,,4227.0,2632.0,1043.0,2829.0,3479.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,24.45,21.745,3.135,13.021,23.95,21.309,54.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,-21.314999999999998,-8.724,13743.0,1756.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_121742_postcopy_wrk3_d36f71\runs\0020,0020,20,20260511_123218_postcopy_20_94c152,postcopy,wrk3,ok,2026-05-11T12:32:18Z,2026-05-11T12:33:03Z,,True,True,False,20260511_121742_postcopy_wrk3_d36f71,/mnt/criu/runs/batches/20260511_121742_postcopy_wrk3_d36f71,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_121742_postcopy_wrk3_d36f71\runs\0020\summary.json,,False,,,1778502768260.0,1778502768260.0,events(offset_corrected),13156.0,3701.0,16030.0,12.0,17495.0,2304.0,2304.0,1910.0,992.0,52.0,5758.0,1900.0,199.0,182.0,185.0,141.0,0.0,0.0,200.0,181.0,200.0,142.0,0.0,39.0,1778502768392.0,1778502770696.0,,2205.0,,,3056.0,1932.0,,,,,5498.0,,,,4182.0,2509.0,1081.0,3518.0,4160.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,22.48,21.036,3.46,17.204,29.28,23.874,53.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,-19.02,-3.8320000000000007,14120.0,394.0
