run_dir,run_number,run_index,run_id,method,load,status,start_ts,end_ts,error,monitor_enabled,migrate_enabled,control_run,batch_id,batch_dir,summary_present,summary_path,summary_load_error,excluded,exclude_reason,analysis_note,cutover_ms,cutover_ms_event,cutover_strategy,http_downtime_ms,l4_downtime_ms,vip_http_client_visible_total_down_ms,vip_http_client_visible_down_segments,vip_http_client_visible_outage_span_ms,vip_http_cutover_near_downtime_ms,vip_http_downtime_ms,vip_l4_downtime_ms,vip_http_cutover_gap_ms,vip_l4_cutover_gap_ms,vip_http_downphase_ms,vip_l4_downphase_ms,vip_http_samples_before,vip_http_samples_after,vip_http_transport_err_before,vip_http_transport_err_after,vip_http_non_200_before,vip_http_non_200_after,vip_l4_samples_before,vip_l4_samples_after,vip_l4_up_before,vip_l4_up_after,vip_l4_down_before,vip_l4_down_after,vip_http_segment_start_ms,vip_http_segment_end_ms,precopy_final_dump_ms,precopy_transfer_prepare_ms,precopy_vip_prepare_ms,precopy_dest_container_cleanup_ms,precopy_transfer_to_restore_ms,precopy_restore_call_ms,precopy_transfer_to_restore_exec_ms,precopy_restore_launch_overhead_ms,precopy_restore_exec_ms,precopy_restore_return_overhead_ms,precopy_restore_to_cutover_ms,precopy_restore_exec_to_cutover_ms,precopy_transfer_mode,precopy_transfer_verify_mode,postcopy_restore_to_readiness_ms,postcopy_readiness_gate_ms,postcopy_warmup_duration_ms,postcopy_cutover_duration_ms,postcopy_cutover_to_health_ok_ms,monitor_http_timeout_ms,monitor_l4_timeout_ms,monitor_precision_mode,monitor_burst_window_ms,migration_vip_garp_count,migration_vip_garp_interval_ms,migration_vip_garp_mode,migration_vip_conntrack_clear_src,migration_precopy_image_mode,migration_precopy_pre_dump_rounds,migration_precopy_tcp_established,migration_postcopy_readiness_stable_successes,migration_postcopy_readiness_interval_ms,migration_postcopy_readiness_timeout_ms,migration_postcopy_probe_max_time_s,migration_postcopy_warmup_rounds,migration_postcopy_warmup_interval_ms,migration_postcopy_warmup_max_duration_ms,latency_src_p50_ms,latency_src_avg_ms,latency_dst_p50_ms,latency_dst_avg_ms,latency_vip_p50_ms,latency_vip_avg_ms,stream_disconnects,stream_max_gap_ms,stream_avg_bps,download_bytes_total,download_duration_ms,dl_avg_bps,download_disconnects,download_max_gap_ms,upload_bytes_total,upload_duration_ms,upload_avg_bps,upload_disconnects,upload_max_gap_ms,analyze_rc,analysis_source,vip_l4_downtime_zero_from_continuous_up,latency_delta_dst_src_p50_ms,latency_delta_dst_src_avg_ms,vip_http_client_visible_minus_l4_downtime_ms,vip_http_minus_l4_downtime_ms
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_110401_precopy_wrk1_cb9d70\runs\0001,0001,1,20260721_110401_precopy_01_7c09aa,precopy,wrk1,ok,2026-07-21T11:04:01Z,2026-07-21T11:04:22Z,,True,True,False,20260721_110401_precopy_wrk1_cb9d70,/mnt/criu/runs/batches/20260721_110401_precopy_wrk1_cb9d70,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_110401_precopy_wrk1_cb9d70\runs\0001\summary.json,,False,,,1784631853555.0,1784631853555.0,events(offset_corrected),852.0,500.0,1011.0,1.0,1011.0,1011.0,1011.0,750.0,1098.0,800.0,1000.0,740.0,92.0,59.0,16.0,5.0,0.0,0.0,91.0,59.0,82.0,53.0,9.0,6.0,1784631852835.0,1784631853846.0,323.0,33.0,98.0,39.0,33.0,496.0,83.0,50.0,413.0,33.0,12.0,45.0,shared,inventory_only,,,,636.0,700.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,1.365,2.092,2.27,2.573,2.065,2.317,16.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,20260721_110401_precopy_wrk1_cb9d70,False,0.905,0.48099999999999987,261.0,261.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_110401_precopy_wrk1_cb9d70\runs\0002,0002,2,20260721_110422_precopy_02_91cd7a,precopy,wrk1,ok,2026-07-21T11:04:22Z,2026-07-21T11:04:42Z,,True,True,False,20260721_110401_precopy_wrk1_cb9d70,/mnt/criu/runs/batches/20260721_110401_precopy_wrk1_cb9d70,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_110401_precopy_wrk1_cb9d70\runs\0002\summary.json,,False,,,1784631873791.0,1784631873791.0,events(offset_corrected),912.0,650.0,1111.0,1.0,1111.0,1111.0,1111.0,900.0,1196.0,950.0,1100.0,889.0,94.0,59.0,18.0,5.0,0.0,0.0,93.0,60.0,81.0,54.0,12.0,6.0,1784631872971.0,1784631874082.0,317.0,51.0,98.0,43.0,45.0,560.0,99.0,54.0,476.0,30.0,18.0,48.0,shared,inventory_only,,,,659.0,724.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,4.295,4.573,1.245,1.607,2.935,3.299,18.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,20260721_110401_precopy_wrk1_cb9d70,False,-3.05,-2.966,211.0,211.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_110401_precopy_wrk1_cb9d70\runs\0003,0003,3,20260721_110442_precopy_03_190ed2,precopy,wrk1,ok,2026-07-21T11:04:42Z,2026-07-21T11:05:02Z,,True,True,False,20260721_110401_precopy_wrk1_cb9d70,/mnt/criu/runs/batches/20260721_110401_precopy_wrk1_cb9d70,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_110401_precopy_wrk1_cb9d70\runs\0003\summary.json,,False,,,1784631894030.0,1784631894030.0,events(offset_corrected),994.0,700.0,1211.0,1.0,1211.0,1211.0,1211.0,949.0,1296.0,1000.0,1200.0,939.0,95.0,60.0,19.0,6.0,0.0,0.0,94.0,60.0,81.0,54.0,13.0,6.0,1784631893150.0,1784631894361.0,313.0,62.0,91.0,44.0,106.0,559.0,180.0,74.0,449.0,36.0,23.0,59.0,shared,inventory_only,,,,675.0,744.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,4.62,5.101,4.17,4.3,4.62,4.8,18.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,20260721_110401_precopy_wrk1_cb9d70,False,-0.4500000000000002,-0.8010000000000002,262.0,262.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_110401_precopy_wrk1_cb9d70\runs\0004,0004,4,20260721_110503_precopy_04_a4b059,precopy,wrk1,ok,2026-07-21T11:05:03Z,2026-07-21T11:05:23Z,,True,True,False,20260721_110401_precopy_wrk1_cb9d70,/mnt/criu/runs/batches/20260721_110401_precopy_wrk1_cb9d70,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_110401_precopy_wrk1_cb9d70\runs\0004\summary.json,,False,,,1784631914760.0,1784631914760.0,events(offset_corrected),945.0,601.0,1111.0,1.0,1111.0,1111.0,1111.0,850.0,1192.0,900.0,1100.0,840.0,94.0,59.0,18.0,5.0,0.0,0.0,93.0,59.0,82.0,53.0,11.0,6.0,1784631913932.0,1784631915043.0,326.0,37.0,100.0,43.0,52.0,547.0,115.0,63.0,453.0,31.0,25.0,56.0,shared,inventory_only,,,,649.0,715.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,4.17,4.572,4.37,4.287,4.88,4.788,18.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,20260721_110401_precopy_wrk1_cb9d70,False,0.20000000000000018,-0.28500000000000014,261.0,261.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_110401_precopy_wrk1_cb9d70\runs\0005,0005,5,20260721_110523_precopy_05_0ca532,precopy,wrk1,ok,2026-07-21T11:05:23Z,2026-07-21T11:05:43Z,,True,True,False,20260721_110401_precopy_wrk1_cb9d70,/mnt/criu/runs/batches/20260721_110401_precopy_wrk1_cb9d70,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_110401_precopy_wrk1_cb9d70\runs\0005\summary.json,,False,,,1784631934877.0,1784631934877.0,events(offset_corrected),927.0,650.0,1111.0,1.0,1111.0,1111.0,1111.0,850.0,1191.0,900.0,1100.0,840.0,93.0,60.0,17.0,6.0,0.0,0.0,93.0,59.0,81.0,54.0,12.0,5.0,1784631934070.0,1784631935181.0,320.0,46.0,96.0,41.0,58.0,557.0,124.0,66.0,462.0,29.0,15.0,44.0,shared,inventory_only,,,,645.0,712.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,4.735,5.009,4.78,4.857,4.86,4.778,18.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,20260721_110401_precopy_wrk1_cb9d70,False,0.04499999999999993,-0.15200000000000014,261.0,261.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_110401_precopy_wrk1_cb9d70\runs\0006,0006,6,20260721_110543_precopy_06_563b25,precopy,wrk1,ok,2026-07-21T11:05:43Z,2026-07-21T11:06:03Z,,True,True,False,20260721_110401_precopy_wrk1_cb9d70,/mnt/criu/runs/batches/20260721_110401_precopy_wrk1_cb9d70,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_110401_precopy_wrk1_cb9d70\runs\0006\summary.json,,False,,,1784631954857.0,1784631954857.0,events(offset_corrected),822.0,550.0,1012.0,1.0,1012.0,1012.0,1012.0,750.0,1095.0,800.0,1000.0,740.0,91.0,60.0,15.0,6.0,0.0,0.0,91.0,59.0,81.0,54.0,10.0,5.0,1784631954156.0,1784631955168.0,300.0,38.0,89.0,42.0,34.0,518.0,88.0,54.0,433.0,31.0,14.0,45.0,shared,inventory_only,,,,652.0,721.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,4.64,4.908,4.7,4.626,5.01,5.042,16.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,20260721_110401_precopy_wrk1_cb9d70,False,0.0600000000000005,-0.28200000000000003,262.0,262.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_110401_precopy_wrk1_cb9d70\runs\0007,0007,7,20260721_110604_precopy_07_db46a8,precopy,wrk1,ok,2026-07-21T11:06:04Z,2026-07-21T11:06:23Z,,True,True,False,20260721_110401_precopy_wrk1_cb9d70,/mnt/criu/runs/batches/20260721_110401_precopy_wrk1_cb9d70,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_110401_precopy_wrk1_cb9d70\runs\0007\summary.json,,False,,,1784631975468.0,1784631975468.0,events(offset_corrected),872.0,599.0,1061.0,1.0,1061.0,1061.0,1061.0,800.0,1142.0,850.0,1050.0,790.0,92.0,59.0,16.0,6.0,0.0,0.0,92.0,59.0,81.0,54.0,11.0,5.0,1784631974726.0,1784631975787.0,316.0,33.0,93.0,38.0,38.0,520.0,92.0,54.0,440.0,26.0,12.0,38.0,shared,inventory_only,,,,649.0,718.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,4.44,4.665,2.66,3.647,4.16,4.502,16.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,20260721_110401_precopy_wrk1_cb9d70,False,-1.7800000000000002,-1.0180000000000002,261.0,261.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_110401_precopy_wrk1_cb9d70\runs\0008,0008,8,20260721_110624_precopy_08_1e2385,precopy,wrk1,ok,2026-07-21T11:06:24Z,2026-07-21T11:06:44Z,,True,True,False,20260721_110401_precopy_wrk1_cb9d70,/mnt/criu/runs/batches/20260721_110401_precopy_wrk1_cb9d70,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_110401_precopy_wrk1_cb9d70\runs\0008\summary.json,,False,,,1784631995603.0,1784631995603.0,events(offset_corrected),826.0,700.0,1011.0,1.0,1011.0,1011.0,1011.0,899.0,1095.0,950.0,1000.0,889.0,92.0,60.0,15.0,6.0,0.0,0.0,92.0,59.0,79.0,54.0,13.0,5.0,1784631994897.0,1784631995908.0,191.0,87.0,109.0,41.0,61.0,536.0,118.0,57.0,448.0,31.0,15.0,46.0,shared,inventory_only,,,,639.0,711.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,4.33,4.882,4.805,4.8,4.84,5.052,17.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,20260721_110401_precopy_wrk1_cb9d70,False,0.47499999999999964,-0.08199999999999985,112.0,112.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_110401_precopy_wrk1_cb9d70\runs\0009,0009,9,20260721_110644_precopy_09_5f43a2,precopy,wrk1,ok,2026-07-21T11:06:44Z,2026-07-21T11:07:03Z,,True,True,False,20260721_110401_precopy_wrk1_cb9d70,/mnt/criu/runs/batches/20260721_110401_precopy_wrk1_cb9d70,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_110401_precopy_wrk1_cb9d70\runs\0009\summary.json,,False,,,1784632015598.0,1784632015598.0,events(offset_corrected),781.0,600.0,962.0,1.0,962.0,962.0,962.0,800.0,1044.0,850.0,950.0,790.0,90.0,60.0,14.0,6.0,0.0,0.0,90.0,59.0,79.0,54.0,11.0,5.0,1784632014942.0,1784632015904.0,196.0,35.0,97.0,42.0,32.0,540.0,89.0,57.0,454.0,29.0,14.0,43.0,shared,inventory_only,,,,652.0,716.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,4.565,4.527,5.5,5.177,4.93,4.899,16.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,20260721_110401_precopy_wrk1_cb9d70,False,0.9349999999999996,0.6499999999999995,162.0,162.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_110401_precopy_wrk1_cb9d70\runs\0010,0010,10,20260721_110704_precopy_10_28949c,precopy,wrk1,ok,2026-07-21T11:07:04Z,2026-07-21T11:07:24Z,,True,True,False,20260721_110401_precopy_wrk1_cb9d70,/mnt/criu/runs/batches/20260721_110401_precopy_wrk1_cb9d70,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_110401_precopy_wrk1_cb9d70\runs\0010\summary.json,,False,,,1784632036021.0,1784632036021.0,events(offset_corrected),869.0,600.0,1062.0,1.0,1062.0,1062.0,1062.0,850.0,1142.0,900.0,1050.0,840.0,92.0,60.0,16.0,6.0,0.0,0.0,92.0,60.0,81.0,54.0,11.0,6.0,1784632035268.0,1784632036330.0,307.0,35.0,93.0,38.0,43.0,534.0,95.0,52.0,452.0,30.0,17.0,47.0,shared,inventory_only,,,,682.0,747.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,4.49,4.986,4.53,4.583,4.62,4.77,17.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,20260721_110401_precopy_wrk1_cb9d70,False,0.040000000000000036,-0.4029999999999996,212.0,212.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_110401_precopy_wrk1_cb9d70\runs\0011,0011,11,20260721_110725_precopy_11_9ea73c,precopy,wrk1,ok,2026-07-21T11:07:25Z,2026-07-21T11:07:44Z,,True,True,False,20260721_110401_precopy_wrk1_cb9d70,/mnt/criu/runs/batches/20260721_110401_precopy_wrk1_cb9d70,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_110401_precopy_wrk1_cb9d70\runs\0011\summary.json,,False,,,1784632055981.0,1784632055981.0,events(offset_corrected),797.0,600.0,961.0,1.0,961.0,961.0,961.0,850.0,1046.0,900.0,949.0,840.0,91.0,59.0,15.0,5.0,0.0,0.0,90.0,60.0,79.0,54.0,11.0,6.0,1784632055313.0,1784632056274.0,212.0,37.0,97.0,45.0,42.0,544.0,108.0,66.0,447.0,31.0,12.0,43.0,shared,inventory_only,,,,669.0,735.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,4.045,4.388,3.98,3.708,4.87,4.709,17.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,20260721_110401_precopy_wrk1_cb9d70,False,-0.06499999999999995,-0.6799999999999997,111.0,111.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_110401_precopy_wrk1_cb9d70\runs\0012,0012,12,20260721_110745_precopy_12_9164d8,precopy,wrk1,ok,2026-07-21T11:07:45Z,2026-07-21T11:08:04Z,,True,True,False,20260721_110401_precopy_wrk1_cb9d70,/mnt/criu/runs/batches/20260721_110401_precopy_wrk1_cb9d70,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_110401_precopy_wrk1_cb9d70\runs\0012\summary.json,,False,,,1784632076280.0,1784632076280.0,events(offset_corrected),901.0,600.0,1061.0,1.0,1061.0,1061.0,1061.0,850.0,1145.0,900.0,1050.0,840.0,93.0,59.0,17.0,5.0,0.0,0.0,92.0,60.0,81.0,54.0,11.0,6.0,1784632075500.0,1784632076561.0,311.0,40.0,94.0,42.0,42.0,538.0,99.0,57.0,454.0,27.0,16.0,43.0,shared,inventory_only,,,,649.0,714.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,4.445,4.656,4.47,4.015,4.985,4.64,17.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,20260721_110401_precopy_wrk1_cb9d70,False,0.024999999999999467,-0.641,211.0,211.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_110401_precopy_wrk1_cb9d70\runs\0013,0013,13,20260721_110805_precopy_13_90b4cd,precopy,wrk1,ok,2026-07-21T11:08:05Z,2026-07-21T11:08:25Z,,True,True,False,20260721_110401_precopy_wrk1_cb9d70,/mnt/criu/runs/batches/20260721_110401_precopy_wrk1_cb9d70,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_110401_precopy_wrk1_cb9d70\runs\0013\summary.json,,False,,,1784632096771.0,1784632096771.0,events(offset_corrected),782.0,600.0,961.0,1.0,961.0,961.0,961.0,849.0,1046.0,900.0,950.0,839.0,90.0,60.0,14.0,6.0,0.0,0.0,90.0,60.0,79.0,54.0,11.0,6.0,1784632096117.0,1784632097078.0,188.0,31.0,96.0,39.0,32.0,577.0,93.0,61.0,487.0,29.0,11.0,40.0,shared,inventory_only,,,,681.0,749.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,4.36,4.841,3.67,3.967,4.425,4.511,17.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,20260721_110401_precopy_wrk1_cb9d70,False,-0.6900000000000004,-0.8740000000000001,112.0,112.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_110401_precopy_wrk1_cb9d70\runs\0014,0014,14,20260721_110826_precopy_14_f27480,precopy,wrk1,ok,2026-07-21T11:08:26Z,2026-07-21T11:08:45Z,,True,True,False,20260721_110401_precopy_wrk1_cb9d70,/mnt/criu/runs/batches/20260721_110401_precopy_wrk1_cb9d70,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_110401_precopy_wrk1_cb9d70\runs\0014\summary.json,,False,,,1784632116932.0,1784632116932.0,events(offset_corrected),795.0,600.0,1011.0,1.0,1011.0,1011.0,1011.0,849.0,1096.0,900.0,1000.0,839.0,91.0,59.0,15.0,6.0,0.0,0.0,91.0,59.0,79.0,54.0,12.0,5.0,1784632116251.0,1784632117262.0,204.0,34.0,96.0,43.0,39.0,546.0,94.0,55.0,461.0,30.0,23.0,53.0,shared,inventory_only,,,,660.0,728.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,4.705,4.908,3.8,3.96,5.1,5.034,17.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,20260721_110401_precopy_wrk1_cb9d70,False,-0.9050000000000002,-0.9480000000000004,162.0,162.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_110401_precopy_wrk1_cb9d70\runs\0015,0015,15,20260721_110846_precopy_15_5daa01,precopy,wrk1,ok,2026-07-21T11:08:46Z,2026-07-21T11:09:05Z,,True,True,False,20260721_110401_precopy_wrk1_cb9d70,/mnt/criu/runs/batches/20260721_110401_precopy_wrk1_cb9d70,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_110401_precopy_wrk1_cb9d70\runs\0015\summary.json,,False,,,1784632137173.0,1784632137173.0,events(offset_corrected),782.0,600.0,1011.0,1.0,1011.0,1011.0,1011.0,850.0,1094.0,900.0,1000.0,840.0,92.0,59.0,15.0,6.0,0.0,0.0,91.0,60.0,80.0,54.0,11.0,6.0,1784632136495.0,1784632137506.0,199.0,32.0,101.0,45.0,54.0,565.0,138.0,84.0,448.0,33.0,28.0,61.0,shared,inventory_only,,,,668.0,735.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,5.24,5.089,1.94,3.211,3.595,4.139,17.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,20260721_110401_precopy_wrk1_cb9d70,False,-3.3000000000000003,-1.8780000000000006,161.0,161.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_110401_precopy_wrk1_cb9d70\runs\0016,0016,16,20260721_110906_precopy_16_ecff60,precopy,wrk1,ok,2026-07-21T11:09:06Z,2026-07-21T11:09:26Z,,True,True,False,20260721_110401_precopy_wrk1_cb9d70,/mnt/criu/runs/batches/20260721_110401_precopy_wrk1_cb9d70,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_110401_precopy_wrk1_cb9d70\runs\0016\summary.json,,False,,,1784632157687.0,1784632157687.0,events(offset_corrected),755.0,600.0,911.0,1.0,911.0,911.0,911.0,800.0,995.0,850.0,900.0,790.0,90.0,59.0,14.0,5.0,0.0,0.0,90.0,59.0,79.0,54.0,11.0,5.0,1784632157050.0,1784632157961.0,197.0,38.0,96.0,40.0,47.0,502.0,104.0,57.0,417.0,28.0,23.0,51.0,shared,inventory_only,,,,644.0,710.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,4.085,4.721,4.03,3.828,4.88,4.649,16.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,20260721_110401_precopy_wrk1_cb9d70,False,-0.054999999999999716,-0.8930000000000002,111.0,111.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_110401_precopy_wrk1_cb9d70\runs\0017,0017,17,20260721_110926_precopy_17_b4a90e,precopy,wrk1,ok,2026-07-21T11:09:26Z,2026-07-21T11:09:46Z,,True,True,False,20260721_110401_precopy_wrk1_cb9d70,/mnt/criu/runs/batches/20260721_110401_precopy_wrk1_cb9d70,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_110401_precopy_wrk1_cb9d70\runs\0017\summary.json,,False,,,1784632177879.0,1784632177879.0,events(offset_corrected),995.0,700.0,1211.0,1.0,1211.0,1211.0,1211.0,949.0,1292.0,1000.0,1200.0,939.0,95.0,59.0,19.0,6.0,0.0,0.0,94.0,60.0,81.0,54.0,13.0,6.0,1784632177006.0,1784632178217.0,307.0,84.0,92.0,43.0,48.0,545.0,126.0,78.0,438.0,29.0,60.0,89.0,shared,inventory_only,,,,672.0,743.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,4.22,4.455,4.26,4.188,4.46,4.823,18.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,20260721_110401_precopy_wrk1_cb9d70,False,0.040000000000000036,-0.26700000000000035,262.0,262.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_110401_precopy_wrk1_cb9d70\runs\0018,0018,18,20260721_110947_precopy_18_34f236,precopy,wrk1,ok,2026-07-21T11:09:47Z,2026-07-21T11:10:06Z,,True,True,False,20260721_110401_precopy_wrk1_cb9d70,/mnt/criu/runs/batches/20260721_110401_precopy_wrk1_cb9d70,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_110401_precopy_wrk1_cb9d70\runs\0018\summary.json,,False,,,1784632198132.0,1784632198132.0,events(offset_corrected),812.0,650.0,1011.0,1.0,1011.0,1011.0,1011.0,850.0,1096.0,900.0,1000.0,840.0,92.0,60.0,15.0,6.0,0.0,0.0,92.0,60.0,80.0,55.0,12.0,5.0,1784632197429.0,1784632198440.0,220.0,45.0,95.0,40.0,50.0,547.0,115.0,65.0,448.0,34.0,20.0,54.0,shared,inventory_only,,,,671.0,740.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,4.44,4.798,4.48,4.602,4.82,4.675,17.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,20260721_110401_precopy_wrk1_cb9d70,False,0.040000000000000036,-0.19599999999999973,161.0,161.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_110401_precopy_wrk1_cb9d70\runs\0019,0019,19,20260721_111007_precopy_19_88da99,precopy,wrk1,ok,2026-07-21T11:10:07Z,2026-07-21T11:10:27Z,,True,True,False,20260721_110401_precopy_wrk1_cb9d70,/mnt/criu/runs/batches/20260721_110401_precopy_wrk1_cb9d70,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_110401_precopy_wrk1_cb9d70\runs\0019\summary.json,,False,,,1784632218808.0,1784632218808.0,events(offset_corrected),880.0,700.0,1061.0,1.0,1061.0,1061.0,1061.0,950.0,1148.0,1000.0,1049.0,940.0,94.0,59.0,17.0,5.0,0.0,0.0,93.0,60.0,80.0,54.0,13.0,6.0,1784632218047.0,1784632219108.0,238.0,85.0,100.0,43.0,52.0,538.0,110.0,58.0,453.0,27.0,16.0,43.0,shared,inventory_only,,,,680.0,747.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,3.6,4.21,4.755,5.162,4.99,4.622,18.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,20260721_110401_precopy_wrk1_cb9d70,False,1.1549999999999998,0.952,111.0,111.0
