method,load,control_run,metric,n,mean,median,std,iqr,min,max,ci_low,ci_high
postcopy,wrk2,False,latency_dst_avg_ms,100,18.7252,19.0905,1.9000935117870785,2.2280000000000015,9.262,21.615,18.352788514963912,19.09761148503609
postcopy,wrk2,False,latency_vip_avg_ms,100,20.85383,21.0415,1.302852194032366,1.5492500000000007,14.308,22.867,20.598475662251754,21.109184337748243
postcopy,wrk2,False,latency_delta_dst_src_p50_ms,100,0.048650000000000054,0.5425000000000004,2.788981372918229,2.8637500000000005,-10.724999999999998,5.25,-0.49798030444728003,0.5952803044472802
postcopy,wrk2,False,dl_avg_bps,0,,,,,,,,
postcopy,wrk2,False,stream_disconnects,100,51.64,51.0,1.494231331731226,1.0,49.0,58.0,51.34713604052355,51.93286395947645
postcopy,wrk2,False,download_disconnects,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
postcopy,wrk2,False,upload_disconnects,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
postcopy,wrk3,False,vip_http_client_visible_total_down_ms,100,15046.31,15013.0,1272.5630757322688,1159.75,10045.0,18798.0,14796.892220350923,15295.727779649076
postcopy,wrk3,False,vip_http_client_visible_down_segments,100,11.24,9.0,5.782453430574923,7.0,3.0,29.0,10.106659953379307,12.373340046620694
postcopy,wrk3,False,vip_http_client_visible_outage_span_ms,100,17235.18,17136.5,782.7425287172189,955.0,14923.0,19787.0,17081.765283454646,17388.594716545354
postcopy,wrk3,False,vip_http_cutover_near_downtime_ms,100,2936.33,2771.0,1359.4616882866512,2008.25,1162.0,6314.0,2669.8804052596147,3202.779594740385
postcopy,wrk3,False,vip_http_downtime_ms,100,2936.33,2771.0,1359.4616882866512,2008.25,1162.0,6314.0,2669.8804052596147,3202.779594740385
postcopy,wrk3,False,vip_l4_downtime_ms,100,1341.52,1261.0,214.245798610433,98.25,1160.0,2010.0,1299.528595088453,1383.511404911547
postcopy,wrk3,False,http_downtime_ms,100,13800.05,13722.0,911.5171432975096,950.25,12143.0,18418.0,13621.395922784604,13978.704077215394
postcopy,wrk3,False,l4_downtime_ms,100,3911.99,3846.5,336.0738403411015,151.25,3496.0,5550.0,3846.1207376785374,3977.859262321462
postcopy,wrk3,False,vip_http_downphase_ms,100,5562.66,5612.5,317.21719991071086,199.25,4163.0,6302.0,5500.486571289836,5624.833428710163
postcopy,wrk3,False,postcopy_restore_to_readiness_ms,100,4274.84,4231.5,323.94137516756723,229.25,3494.0,5981.0,4211.348657156919,4338.331342843081
postcopy,wrk3,False,postcopy_readiness_gate_ms,100,2620.83,2588.0,228.64480216168383,69.25,2395.0,4110.0,2576.016442251081,2665.6435577489187
postcopy,wrk3,False,postcopy_warmup_duration_ms,100,1134.35,1066.0,238.04491448701714,74.0,937.0,2005.0,1087.6940540902528,1181.005945909747
postcopy,wrk3,False,postcopy_cutover_to_health_ok_ms,100,3603.96,3538.5,226.208311969389,136.75,3333.0,4323.0,3559.6239855536396,3648.2960144463605
postcopy,wrk3,False,latency_src_p50_ms,100,8.56195,6.91,5.038037982652222,0.7574999999999994,5.11,27.67,7.574512700125681,9.549387299874319
postcopy,wrk3,False,latency_dst_p50_ms,100,14.5178,11.600000000000001,10.67994099026561,21.735,2.635,30.75,12.424570030206636,16.611029969793364
postcopy,wrk3,False,latency_vip_p50_ms,100,15.04955,9.77,9.139586807819965,18.67625,5.49,30.56,13.258223902309547,16.840876097690455
postcopy,wrk3,False,latency_src_avg_ms,100,15.830330000000002,15.599499999999999,2.9293034958515447,4.3545,10.42,23.034,15.256197064834371,16.404462935165633
postcopy,wrk3,False,latency_dst_avg_ms,100,18.31423,18.7785,3.684799817363272,5.553499999999998,8.695,24.55,17.59202250677282,19.036437493227176
postcopy,wrk3,False,latency_vip_avg_ms,100,19.46932,19.662,3.058517908326769,4.157499999999995,12.791,25.221,18.869861505360877,20.068778494639123
postcopy,wrk3,False,latency_delta_dst_src_p50_ms,100,5.955850000000001,1.6375000000000002,12.393671121429744,21.785000000000004,-22.82,24.4,3.526735096576357,8.384964903423644
postcopy,wrk3,False,dl_avg_bps,0,,,,,,,,
postcopy,wrk3,False,stream_disconnects,100,52.98,53.0,1.5372808212009683,2.0,50.0,57.0,52.67869849563219,53.2813015043678
postcopy,wrk3,False,download_disconnects,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
postcopy,wrk3,False,upload_disconnects,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
