run_id,run_dir,run_number,run_index,batch_id,batch_dir,analysis_source,method,load,control_run,excluded,breakdown_kind,basis_start_ms,basis_end_ms,basis_total_ms,basis_metric,phase_order,phase_id,phase_label,phase_group,start_ms,end_ms,duration_ms,rel_start_ms,rel_end_ms,status,marker_start,marker_end,quality_flags,coverage_ok
20260721_113759_postcopy_01_7a983c,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_113759_postcopy_wrk1_a24afe\runs\0001,0001,1,20260721_113759_postcopy_wrk1_a24afe,/mnt/criu/runs/batches/20260721_113759_postcopy_wrk1_a24afe,20260721_113759_postcopy_wrk1_a24afe,postcopy,wrk1,False,False,client_visible_vip_http,1784633893964,1784633895326,1362,vip_http_client_visible_total_down_ms,1,down_segment_1,VIP HTTP down segment 1,http_down,1784633893964,1784633895326,1362,0,1362,observed_down,,,,True
20260721_113759_postcopy_01_7a983c,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_113759_postcopy_wrk1_a24afe\runs\0001,0001,1,20260721_113759_postcopy_wrk1_a24afe,/mnt/criu/runs/batches/20260721_113759_postcopy_wrk1_a24afe,20260721_113759_postcopy_wrk1_a24afe,postcopy,wrk1,False,False,event_critical_path,1784633893921,1784633897399,3478,,1,transfer,Transfer,transfer,1784633893921,1784633894278,357,0,357,event,transfer_start_ms_event,transfer_done_ms_event,missing_marker_dest_readiness_wait_start_ms_event;phase_missing_readiness_gate;missing_marker_postcopy_warmup_start_ms_event;missing_marker_postcopy_warmup_done_ms_event;phase_missing_warmup;unknown_present,True
20260721_113759_postcopy_01_7a983c,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_113759_postcopy_wrk1_a24afe\runs\0001,0001,1,20260721_113759_postcopy_wrk1_a24afe,/mnt/criu/runs/batches/20260721_113759_postcopy_wrk1_a24afe,20260721_113759_postcopy_wrk1_a24afe,postcopy,wrk1,False,False,event_critical_path,1784633893921,1784633897399,3478,,2,transfer_to_restore,Transfer to restore,handoff,1784633894278,1784633894585,307,357,664,event,transfer_done_ms_event,restore_start_ms_event,missing_marker_dest_readiness_wait_start_ms_event;phase_missing_readiness_gate;missing_marker_postcopy_warmup_start_ms_event;missing_marker_postcopy_warmup_done_ms_event;phase_missing_warmup;unknown_present,True
20260721_113759_postcopy_01_7a983c,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_113759_postcopy_wrk1_a24afe\runs\0001,0001,1,20260721_113759_postcopy_wrk1_a24afe,/mnt/criu/runs/batches/20260721_113759_postcopy_wrk1_a24afe,20260721_113759_postcopy_wrk1_a24afe,postcopy,wrk1,False,False,event_critical_path,1784633893921,1784633897399,3478,,3,restore,Restore,restore,1784633894585,1784633895005,420,664,1084,event,restore_start_ms_event,restore_done_ms_event,missing_marker_dest_readiness_wait_start_ms_event;phase_missing_readiness_gate;missing_marker_postcopy_warmup_start_ms_event;missing_marker_postcopy_warmup_done_ms_event;phase_missing_warmup;unknown_present,True
20260721_113759_postcopy_01_7a983c,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_113759_postcopy_wrk1_a24afe\runs\0001,0001,1,20260721_113759_postcopy_wrk1_a24afe,/mnt/criu/runs/batches/20260721_113759_postcopy_wrk1_a24afe,20260721_113759_postcopy_wrk1_a24afe,postcopy,wrk1,False,False,event_critical_path,1784633893921,1784633897399,3478,,4,unknown_gap,Unknown / not explained by markers,unknown,1784633895005,1784633896312,1307,1084,2391,unknown,,,missing_marker_dest_readiness_wait_start_ms_event;phase_missing_readiness_gate;missing_marker_postcopy_warmup_start_ms_event;missing_marker_postcopy_warmup_done_ms_event;phase_missing_warmup;unknown_present,True
20260721_113759_postcopy_01_7a983c,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_113759_postcopy_wrk1_a24afe\runs\0001,0001,1,20260721_113759_postcopy_wrk1_a24afe,/mnt/criu/runs/batches/20260721_113759_postcopy_wrk1_a24afe,20260721_113759_postcopy_wrk1_a24afe,postcopy,wrk1,False,False,event_critical_path,1784633893921,1784633897399,3478,,5,warmup_to_cutover,Warmup to cutover,handoff,1784633896312,1784633896328,16,2391,2407,fallback,dest_readiness_ok_ms_event,vip_cutover_start_ms_event,missing_marker_dest_readiness_wait_start_ms_event;phase_missing_readiness_gate;missing_marker_postcopy_warmup_start_ms_event;missing_marker_postcopy_warmup_done_ms_event;phase_missing_warmup;unknown_present,True
20260721_113759_postcopy_01_7a983c,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_113759_postcopy_wrk1_a24afe\runs\0001,0001,1,20260721_113759_postcopy_wrk1_a24afe,/mnt/criu/runs/batches/20260721_113759_postcopy_wrk1_a24afe,20260721_113759_postcopy_wrk1_a24afe,postcopy,wrk1,False,False,event_critical_path,1784633893921,1784633897399,3478,,6,vip_cutover,VIP cutover,cutover,1784633896328,1784633897124,796,2407,3203,event,vip_cutover_start_ms_event,vip_cutover_done_ms_event,missing_marker_dest_readiness_wait_start_ms_event;phase_missing_readiness_gate;missing_marker_postcopy_warmup_start_ms_event;missing_marker_postcopy_warmup_done_ms_event;phase_missing_warmup;unknown_present,True
20260721_113759_postcopy_01_7a983c,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_113759_postcopy_wrk1_a24afe\runs\0001,0001,1,20260721_113759_postcopy_wrk1_a24afe,/mnt/criu/runs/batches/20260721_113759_postcopy_wrk1_a24afe,20260721_113759_postcopy_wrk1_a24afe,postcopy,wrk1,False,False,event_critical_path,1784633893921,1784633897399,3478,,7,unknown_gap,Unknown / not explained by markers,unknown,1784633897124,1784633897141,17,3203,3220,unknown,,,missing_marker_dest_readiness_wait_start_ms_event;phase_missing_readiness_gate;missing_marker_postcopy_warmup_start_ms_event;missing_marker_postcopy_warmup_done_ms_event;phase_missing_warmup;unknown_present,True
20260721_113759_postcopy_01_7a983c,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_113759_postcopy_wrk1_a24afe\runs\0001,0001,1,20260721_113759_postcopy_wrk1_a24afe,/mnt/criu/runs/batches/20260721_113759_postcopy_wrk1_a24afe,20260721_113759_postcopy_wrk1_a24afe,postcopy,wrk1,False,False,event_critical_path,1784633893921,1784633897399,3478,,8,health_wait,Health wait,health,1784633897141,1784633897399,258,3220,3478,event,health_wait_start_ms_event,health_ok_ms_event,missing_marker_dest_readiness_wait_start_ms_event;phase_missing_readiness_gate;missing_marker_postcopy_warmup_start_ms_event;missing_marker_postcopy_warmup_done_ms_event;phase_missing_warmup;unknown_present,True
20260721_113826_postcopy_02_152889,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_113759_postcopy_wrk1_a24afe\runs\0002,0002,2,20260721_113759_postcopy_wrk1_a24afe,/mnt/criu/runs/batches/20260721_113759_postcopy_wrk1_a24afe,20260721_113759_postcopy_wrk1_a24afe,postcopy,wrk1,False,False,client_visible_vip_http,1784633920018,1784633921429,1411,vip_http_client_visible_total_down_ms,1,down_segment_1,VIP HTTP down segment 1,http_down,1784633920018,1784633921429,1411,0,1411,observed_down,,,,True
20260721_113826_postcopy_02_152889,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_113759_postcopy_wrk1_a24afe\runs\0002,0002,2,20260721_113759_postcopy_wrk1_a24afe,/mnt/criu/runs/batches/20260721_113759_postcopy_wrk1_a24afe,20260721_113759_postcopy_wrk1_a24afe,postcopy,wrk1,False,False,event_critical_path,1784633920005,1784633923460,3455,,1,transfer,Transfer,transfer,1784633920005,1784633920362,357,0,357,event,transfer_start_ms_event,transfer_done_ms_event,missing_marker_dest_readiness_wait_start_ms_event;phase_missing_readiness_gate;missing_marker_postcopy_warmup_start_ms_event;missing_marker_postcopy_warmup_done_ms_event;phase_missing_warmup;unknown_present,True
20260721_113826_postcopy_02_152889,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_113759_postcopy_wrk1_a24afe\runs\0002,0002,2,20260721_113759_postcopy_wrk1_a24afe,/mnt/criu/runs/batches/20260721_113759_postcopy_wrk1_a24afe,20260721_113759_postcopy_wrk1_a24afe,postcopy,wrk1,False,False,event_critical_path,1784633920005,1784633923460,3455,,2,transfer_to_restore,Transfer to restore,handoff,1784633920362,1784633920687,325,357,682,event,transfer_done_ms_event,restore_start_ms_event,missing_marker_dest_readiness_wait_start_ms_event;phase_missing_readiness_gate;missing_marker_postcopy_warmup_start_ms_event;missing_marker_postcopy_warmup_done_ms_event;phase_missing_warmup;unknown_present,True
20260721_113826_postcopy_02_152889,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_113759_postcopy_wrk1_a24afe\runs\0002,0002,2,20260721_113759_postcopy_wrk1_a24afe,/mnt/criu/runs/batches/20260721_113759_postcopy_wrk1_a24afe,20260721_113759_postcopy_wrk1_a24afe,postcopy,wrk1,False,False,event_critical_path,1784633920005,1784633923460,3455,,3,restore,Restore,restore,1784633920687,1784633921104,417,682,1099,event,restore_start_ms_event,restore_done_ms_event,missing_marker_dest_readiness_wait_start_ms_event;phase_missing_readiness_gate;missing_marker_postcopy_warmup_start_ms_event;missing_marker_postcopy_warmup_done_ms_event;phase_missing_warmup;unknown_present,True
