run_id,run_dir,run_number,run_index,batch_id,batch_dir,analysis_source,method,load,control_run,excluded,breakdown_kind,basis_start_ms,basis_end_ms,basis_total_ms,basis_metric,phase_order,phase_id,phase_label,phase_group,start_ms,end_ms,duration_ms,rel_start_ms,rel_end_ms,status,marker_start,marker_end,quality_flags,coverage_ok
20260721_110401_precopy_01_7c09aa,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_110401_precopy_wrk1_cb9d70\runs\0001,0001,1,20260721_110401_precopy_wrk1_cb9d70,/mnt/criu/runs/batches/20260721_110401_precopy_wrk1_cb9d70,,precopy,wrk1,False,False,client_visible_vip_http,1784631852835,1784631853846,1011,vip_http_client_visible_total_down_ms,1,down_segment_1,VIP HTTP down segment 1,http_down,1784631852835,1784631853846,1011,0,1011,observed_down,,,,True
20260721_110401_precopy_01_7c09aa,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_110401_precopy_wrk1_cb9d70\runs\0001,0001,1,20260721_110401_precopy_wrk1_cb9d70,/mnt/criu/runs/batches/20260721_110401_precopy_wrk1_cb9d70,,precopy,wrk1,False,False,event_critical_path,1784631852642,1784631854255,1613,,1,final_dump,Final dump,dump,1784631852642,1784631852965,323,0,323,event,final_dump_start_ms_event,final_dump_done_ms_event,unknown_present,True
20260721_110401_precopy_01_7c09aa,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_110401_precopy_wrk1_cb9d70\runs\0001,0001,1,20260721_110401_precopy_wrk1_cb9d70,/mnt/criu/runs/batches/20260721_110401_precopy_wrk1_cb9d70,,precopy,wrk1,False,False,event_critical_path,1784631852642,1784631854255,1613,,2,unknown_gap,Unknown / not explained by markers,unknown,1784631852965,1784631852981,16,323,339,unknown,,,unknown_present,True
20260721_110401_precopy_01_7c09aa,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_110401_precopy_wrk1_cb9d70\runs\0001,0001,1,20260721_110401_precopy_wrk1_cb9d70,/mnt/criu/runs/batches/20260721_110401_precopy_wrk1_cb9d70,,precopy,wrk1,False,False,event_critical_path,1784631852642,1784631854255,1613,,3,transfer,Transfer,transfer,1784631852981,1784631853014,33,339,372,event,transfer_start_ms_event,transfer_done_ms_event,unknown_present,True
20260721_110401_precopy_01_7c09aa,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_110401_precopy_wrk1_cb9d70\runs\0001,0001,1,20260721_110401_precopy_wrk1_cb9d70,/mnt/criu/runs/batches/20260721_110401_precopy_wrk1_cb9d70,,precopy,wrk1,False,False,event_critical_path,1784631852642,1784631854255,1613,,4,unknown_gap,Unknown / not explained by markers,unknown,1784631853014,1784631853047,33,372,405,unknown,,,unknown_present,True
20260721_110401_precopy_01_7c09aa,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_110401_precopy_wrk1_cb9d70\runs\0001,0001,1,20260721_110401_precopy_wrk1_cb9d70,/mnt/criu/runs/batches/20260721_110401_precopy_wrk1_cb9d70,,precopy,wrk1,False,False,event_critical_path,1784631852642,1784631854255,1613,,5,restore,Restore,restore,1784631853047,1784631853543,496,405,901,event,restore_start_ms_event,restore_done_ms_event,unknown_present,True
20260721_110401_precopy_01_7c09aa,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_110401_precopy_wrk1_cb9d70\runs\0001,0001,1,20260721_110401_precopy_wrk1_cb9d70,/mnt/criu/runs/batches/20260721_110401_precopy_wrk1_cb9d70,,precopy,wrk1,False,False,event_critical_path,1784631852642,1784631854255,1613,,6,restore_to_cutover,Restore to cutover,handoff,1784631853543,1784631853555,12,901,913,event,restore_done_ms_event,vip_cutover_start_ms_event,unknown_present,True
20260721_110401_precopy_01_7c09aa,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_110401_precopy_wrk1_cb9d70\runs\0001,0001,1,20260721_110401_precopy_wrk1_cb9d70,/mnt/criu/runs/batches/20260721_110401_precopy_wrk1_cb9d70,,precopy,wrk1,False,False,event_critical_path,1784631852642,1784631854255,1613,,7,vip_cutover,VIP cutover,cutover,1784631853555,1784631854191,636,913,1549,event,vip_cutover_start_ms_event,vip_cutover_done_ms_event,unknown_present,True
20260721_110401_precopy_01_7c09aa,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_110401_precopy_wrk1_cb9d70\runs\0001,0001,1,20260721_110401_precopy_wrk1_cb9d70,/mnt/criu/runs/batches/20260721_110401_precopy_wrk1_cb9d70,,precopy,wrk1,False,False,event_critical_path,1784631852642,1784631854255,1613,,8,unknown_gap,Unknown / not explained by markers,unknown,1784631854191,1784631854221,30,1549,1579,unknown,,,unknown_present,True
20260721_110401_precopy_01_7c09aa,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_110401_precopy_wrk1_cb9d70\runs\0001,0001,1,20260721_110401_precopy_wrk1_cb9d70,/mnt/criu/runs/batches/20260721_110401_precopy_wrk1_cb9d70,,precopy,wrk1,False,False,event_critical_path,1784631852642,1784631854255,1613,,9,health_wait,Health wait,health,1784631854221,1784631854255,34,1579,1613,event,health_wait_start_ms_event,health_ok_ms_event,unknown_present,True
