run_dir,run_number,run_index,run_id,method,load,status,start_ts,end_ts,error,monitor_enabled,migrate_enabled,control_run,batch_id,batch_dir,summary_present,summary_path,summary_load_error,excluded,exclude_reason,analysis_note,cutover_ms,cutover_ms_event,cutover_strategy,http_downtime_ms,l4_downtime_ms,vip_http_client_visible_total_down_ms,vip_http_client_visible_down_segments,vip_http_client_visible_outage_span_ms,vip_http_cutover_near_downtime_ms,vip_http_downtime_ms,vip_l4_downtime_ms,vip_http_cutover_gap_ms,vip_l4_cutover_gap_ms,vip_http_downphase_ms,vip_l4_downphase_ms,vip_http_samples_before,vip_http_samples_after,vip_http_transport_err_before,vip_http_transport_err_after,vip_http_non_200_before,vip_http_non_200_after,vip_l4_samples_before,vip_l4_samples_after,vip_l4_up_before,vip_l4_up_after,vip_l4_down_before,vip_l4_down_after,vip_http_segment_start_ms,vip_http_segment_end_ms,precopy_final_dump_ms,precopy_transfer_prepare_ms,precopy_vip_prepare_ms,precopy_dest_container_cleanup_ms,precopy_transfer_to_restore_ms,precopy_restore_call_ms,precopy_transfer_to_restore_exec_ms,precopy_restore_launch_overhead_ms,precopy_restore_exec_ms,precopy_restore_return_overhead_ms,precopy_restore_to_cutover_ms,precopy_restore_exec_to_cutover_ms,precopy_transfer_mode,precopy_transfer_verify_mode,postcopy_restore_to_readiness_ms,postcopy_readiness_gate_ms,postcopy_warmup_duration_ms,postcopy_cutover_duration_ms,postcopy_cutover_to_health_ok_ms,monitor_http_timeout_ms,monitor_l4_timeout_ms,monitor_precision_mode,monitor_burst_window_ms,migration_vip_garp_count,migration_vip_garp_interval_ms,migration_vip_garp_mode,migration_vip_conntrack_clear_src,migration_precopy_image_mode,migration_precopy_pre_dump_rounds,migration_precopy_tcp_established,migration_postcopy_readiness_stable_successes,migration_postcopy_readiness_interval_ms,migration_postcopy_readiness_timeout_ms,migration_postcopy_probe_max_time_s,migration_postcopy_warmup_rounds,migration_postcopy_warmup_interval_ms,migration_postcopy_warmup_max_duration_ms,latency_src_p50_ms,latency_src_avg_ms,latency_dst_p50_ms,latency_dst_avg_ms,latency_vip_p50_ms,latency_vip_avg_ms,stream_disconnects,stream_max_gap_ms,stream_avg_bps,download_bytes_total,download_duration_ms,dl_avg_bps,download_disconnects,download_max_gap_ms,upload_bytes_total,upload_duration_ms,upload_avg_bps,upload_disconnects,upload_max_gap_ms,analyze_rc,vip_l4_downtime_zero_from_continuous_up,latency_delta_dst_src_p50_ms,latency_delta_dst_src_avg_ms,vip_http_client_visible_minus_l4_downtime_ms,vip_http_minus_l4_downtime_ms
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_095136_precopy_stream_745e1e\runs\0001,0001,1,20260721_095136_precopy_01_674321,precopy,stream,ok,2026-07-21T09:51:36Z,2026-07-21T09:51:51Z,,True,True,False,20260721_095136_precopy_stream_745e1e,/mnt/criu/runs/batches/20260721_095136_precopy_stream_745e1e,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_095136_precopy_stream_745e1e\runs\0001\summary.json,,False,,,1784627507945.0,1784627507945.0,events(offset_corrected),739.0,550.0,911.0,1.0,911.0,911.0,911.0,750.0,1000.0,800.0,900.0,740.0,91.0,58.0,14.0,5.0,0.0,0.0,90.0,59.0,80.0,54.0,10.0,5.0,1784627507334.0,1784627508245.0,210.0,33.0,95.0,44.0,37.0,522.0,90.0,53.0,440.0,29.0,14.0,43.0,shared,inventory_only,,,,633.0,696.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,1.06,1.121,1.09,1.765,0.96,0.993,20.0,1905.0,331803.142,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,False,0.030000000000000027,0.6439999999999999,161.0,161.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_095136_precopy_stream_745e1e\runs\0002,0002,2,20260721_095152_precopy_02_61eb75,precopy,stream,ok,2026-07-21T09:51:52Z,2026-07-21T09:52:07Z,,True,True,False,20260721_095136_precopy_stream_745e1e,/mnt/criu/runs/batches/20260721_095136_precopy_stream_745e1e,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_095136_precopy_stream_745e1e\runs\0002\summary.json,,False,,,1784627523543.0,1784627523543.0,events(offset_corrected),762.0,600.0,911.0,1.0,911.0,911.0,911.0,800.0,1000.0,850.0,899.0,790.0,90.0,59.0,14.0,5.0,0.0,0.0,90.0,59.0,79.0,54.0,11.0,5.0,1784627522909.0,1784627523820.0,194.0,33.0,94.0,40.0,36.0,529.0,90.0,54.0,447.0,28.0,13.0,41.0,shared,inventory_only,,,,650.0,716.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,0.85,0.951,1.14,1.353,0.9,0.942,20.0,1876.0,333242.204,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,False,0.2899999999999999,0.402,111.0,111.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_095136_precopy_stream_745e1e\runs\0003,0003,3,20260721_095208_precopy_03_6bd97a,precopy,stream,ok,2026-07-21T09:52:08Z,2026-07-21T09:52:23Z,,True,True,False,20260721_095136_precopy_stream_745e1e,/mnt/criu/runs/batches/20260721_095136_precopy_stream_745e1e,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_095136_precopy_stream_745e1e\runs\0003\summary.json,,False,,,1784627539159.0,1784627539159.0,events(offset_corrected),750.0,550.0,911.0,1.0,911.0,911.0,911.0,750.0,1000.0,800.0,900.0,740.0,91.0,59.0,14.0,5.0,0.0,0.0,90.0,59.0,80.0,54.0,10.0,5.0,1784627538541.0,1784627539452.0,200.0,36.0,98.0,42.0,38.0,524.0,88.0,50.0,442.0,32.0,12.0,44.0,shared,inventory_only,,,,649.0,713.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,0.94,0.995,0.95,1.01,0.91,0.963,20.0,1904.0,331852.558,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,False,0.010000000000000009,0.015000000000000013,161.0,161.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_095136_precopy_stream_745e1e\runs\0004,0004,4,20260721_095223_precopy_04_cc1d70,precopy,stream,ok,2026-07-21T09:52:23Z,2026-07-21T09:52:38Z,,True,True,False,20260721_095136_precopy_stream_745e1e,/mnt/criu/runs/batches/20260721_095136_precopy_stream_745e1e,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_095136_precopy_stream_745e1e\runs\0004\summary.json,,False,,,1784627554654.0,1784627554654.0,events(offset_corrected),701.0,500.0,861.0,1.0,861.0,861.0,861.0,697.0,951.0,750.0,850.0,687.0,89.0,59.0,12.0,6.0,0.0,0.0,89.0,59.0,80.0,54.0,9.0,5.0,1784627554107.0,1784627554968.0,206.0,33.0,95.0,43.0,39.0,460.0,94.0,55.0,383.0,22.0,12.0,34.0,shared,inventory_only,,,,641.0,707.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,0.94,0.982,0.99,1.096,0.93,0.983,20.0,1908.0,331827.848,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,False,0.050000000000000044,0.1140000000000001,164.0,164.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_095136_precopy_stream_745e1e\runs\0005,0005,5,20260721_095239_precopy_05_f85189,precopy,stream,ok,2026-07-21T09:52:39Z,2026-07-21T09:52:54Z,,True,True,False,20260721_095136_precopy_stream_745e1e,/mnt/criu/runs/batches/20260721_095136_precopy_stream_745e1e,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_095136_precopy_stream_745e1e\runs\0005\summary.json,,False,,,1784627570785.0,1784627570785.0,events(offset_corrected),838.0,551.0,1011.0,1.0,1011.0,1011.0,1011.0,800.0,1101.0,850.0,999.0,790.0,93.0,59.0,16.0,5.0,0.0,0.0,92.0,59.0,82.0,53.0,10.0,6.0,1784627570074.0,1784627571085.0,309.0,32.0,99.0,44.0,38.0,511.0,92.0,54.0,428.0,29.0,13.0,42.0,shared,inventory_only,,,,648.0,715.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,1.02,1.06,1.055,1.756,0.91,0.97,20.0,2017.0,325027.204,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,False,0.03499999999999992,0.696,211.0,211.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_095136_precopy_stream_745e1e\runs\0006,0006,6,20260721_095255_precopy_06_8b14f2,precopy,stream,ok,2026-07-21T09:52:55Z,2026-07-21T09:53:10Z,,True,True,False,20260721_095136_precopy_stream_745e1e,/mnt/criu/runs/batches/20260721_095136_precopy_stream_745e1e,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_095136_precopy_stream_745e1e\runs\0006\summary.json,,False,,,1784627586382.0,1784627586382.0,events(offset_corrected),822.0,551.0,961.0,1.0,961.0,961.0,961.0,750.0,1050.0,800.0,950.0,740.0,92.0,59.0,15.0,5.0,0.0,0.0,92.0,59.0,82.0,54.0,10.0,5.0,1784627585690.0,1784627586651.0,306.0,33.0,98.0,45.0,38.0,508.0,87.0,49.0,427.0,32.0,13.0,45.0,shared,inventory_only,,,,649.0,715.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,0.97,1.032,1.12,1.523,0.95,0.987,20.0,2000.0,326336.262,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,False,0.15000000000000013,0.4909999999999999,211.0,211.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_095136_precopy_stream_745e1e\runs\0007,0007,7,20260721_095310_precopy_07_6c1d9a,precopy,stream,ok,2026-07-21T09:53:10Z,2026-07-21T09:53:25Z,,True,True,False,20260721_095136_precopy_stream_745e1e,/mnt/criu/runs/batches/20260721_095136_precopy_stream_745e1e,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_095136_precopy_stream_745e1e\runs\0007\summary.json,,False,,,1784627602055.0,1784627602055.0,events(offset_corrected),853.0,550.0,1011.0,1.0,1011.0,1011.0,1011.0,800.0,1101.0,850.0,999.0,790.0,93.0,59.0,16.0,5.0,0.0,0.0,92.0,60.0,82.0,54.0,10.0,6.0,1784627601332.0,1784627602343.0,300.0,37.0,104.0,43.0,39.0,530.0,94.0,55.0,442.0,33.0,12.0,45.0,shared,inventory_only,,,,662.0,728.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,0.9,0.944,0.92,0.998,0.9,0.915,22.0,2006.0,326887.545,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,False,0.020000000000000018,0.05400000000000005,211.0,211.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_095136_precopy_stream_745e1e\runs\0008,0008,8,20260721_095326_precopy_08_0ef4e9,precopy,stream,ok,2026-07-21T09:53:26Z,2026-07-21T09:53:41Z,,True,True,False,20260721_095136_precopy_stream_745e1e,/mnt/criu/runs/batches/20260721_095136_precopy_stream_745e1e,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_095136_precopy_stream_745e1e\runs\0008\summary.json,,False,,,1784627617477.0,1784627617477.0,events(offset_corrected),719.0,551.0,861.0,1.0,861.0,861.0,861.0,750.0,950.0,800.0,850.0,740.0,89.0,59.0,13.0,5.0,0.0,0.0,89.0,59.0,79.0,54.0,10.0,5.0,1784627616891.0,1784627617752.0,179.0,32.0,93.0,38.0,35.0,502.0,89.0,54.0,421.0,27.0,13.0,40.0,shared,inventory_only,,,,665.0,731.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,0.905,0.958,0.98,1.296,0.88,0.969,20.0,1858.0,334166.767,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,False,0.07499999999999996,0.3380000000000001,111.0,111.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_095136_precopy_stream_745e1e\runs\0009,0009,9,20260721_095342_precopy_09_0bcf21,precopy,stream,ok,2026-07-21T09:53:42Z,2026-07-21T09:53:57Z,,True,True,False,20260721_095136_precopy_stream_745e1e,/mnt/criu/runs/batches/20260721_095136_precopy_stream_745e1e,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_095136_precopy_stream_745e1e\runs\0009\summary.json,,False,,,1784627633517.0,1784627633517.0,events(offset_corrected),753.0,500.0,962.0,1.0,962.0,962.0,962.0,749.0,1051.0,799.0,950.0,739.0,91.0,59.0,15.0,5.0,0.0,0.0,90.0,59.0,81.0,53.0,9.0,6.0,1784627632846.0,1784627633808.0,292.0,33.0,92.0,41.0,34.0,465.0,82.0,48.0,387.0,30.0,13.0,43.0,shared,inventory_only,,,,641.0,705.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,0.82,0.896,1.13,1.218,0.85,0.907,20.0,1994.0,327435.645,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,False,0.30999999999999994,0.32199999999999995,213.0,213.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_095136_precopy_stream_745e1e\runs\0010,0010,10,20260721_095358_precopy_10_34b14f,precopy,stream,ok,2026-07-21T09:53:58Z,2026-07-21T09:54:13Z,,True,True,False,20260721_095136_precopy_stream_745e1e,/mnt/criu/runs/batches/20260721_095136_precopy_stream_745e1e,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_095136_precopy_stream_745e1e\runs\0010\summary.json,,False,,,1784627649026.0,1784627649026.0,events(offset_corrected),700.0,551.0,861.0,1.0,861.0,861.0,861.0,800.0,950.0,850.0,849.0,790.0,90.0,58.0,13.0,5.0,0.0,0.0,89.0,59.0,79.0,53.0,10.0,6.0,1784627648461.0,1784627649322.0,188.0,33.0,96.0,42.0,37.0,509.0,88.0,51.0,431.0,27.0,13.0,40.0,shared,inventory_only,,,,642.0,703.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,0.92,0.949,1.225,1.249,0.9,0.995,20.0,1872.0,333366.846,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,False,0.30500000000000005,0.30000000000000016,61.0,61.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_095136_precopy_stream_745e1e\runs\0011,0011,11,20260721_095413_precopy_11_0d5ed0,precopy,stream,ok,2026-07-21T09:54:13Z,2026-07-21T09:54:28Z,,True,True,False,20260721_095136_precopy_stream_745e1e,/mnt/criu/runs/batches/20260721_095136_precopy_stream_745e1e,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_095136_precopy_stream_745e1e\runs\0011\summary.json,,False,,,1784627664656.0,1784627664656.0,events(offset_corrected),724.0,601.0,911.0,1.0,911.0,911.0,911.0,800.0,1000.0,850.0,899.0,790.0,90.0,59.0,13.0,6.0,0.0,0.0,90.0,59.0,79.0,54.0,11.0,5.0,1784627664054.0,1784627664965.0,195.0,33.0,97.0,41.0,34.0,530.0,82.0,48.0,447.0,35.0,14.0,49.0,shared,inventory_only,,,,643.0,708.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,0.98,1.099,1.2,1.717,0.995,1.103,20.0,1892.0,332421.901,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,False,0.21999999999999997,0.6180000000000001,111.0,111.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_095136_precopy_stream_745e1e\runs\0012,0012,12,20260721_095429_precopy_12_8bcdf3,precopy,stream,ok,2026-07-21T09:54:29Z,2026-07-21T09:54:44Z,,True,True,False,20260721_095136_precopy_stream_745e1e,/mnt/criu/runs/batches/20260721_095136_precopy_stream_745e1e,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_095136_precopy_stream_745e1e\runs\0012\summary.json,,False,,,1784627680276.0,1784627680276.0,events(offset_corrected),764.0,600.0,911.0,1.0,911.0,911.0,911.0,800.0,999.0,850.0,900.0,790.0,91.0,59.0,14.0,5.0,0.0,0.0,91.0,59.0,80.0,54.0,11.0,5.0,1784627679638.0,1784627680549.0,201.0,34.0,100.0,43.0,37.0,528.0,94.0,57.0,440.0,31.0,13.0,44.0,shared,inventory_only,,,,643.0,710.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,0.98,1.136,1.08,1.359,0.94,0.977,20.0,1923.0,330842.465,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,False,0.10000000000000009,0.2230000000000001,111.0,111.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_095136_precopy_stream_745e1e\runs\0013,0013,13,20260721_095445_precopy_13_a4af97,precopy,stream,ok,2026-07-21T09:54:45Z,2026-07-21T09:55:00Z,,True,True,False,20260721_095136_precopy_stream_745e1e,/mnt/criu/runs/batches/20260721_095136_precopy_stream_745e1e,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_095136_precopy_stream_745e1e\runs\0013\summary.json,,False,,,1784627696323.0,1784627696323.0,events(offset_corrected),754.0,550.0,911.0,1.0,911.0,911.0,911.0,800.0,1000.0,850.0,900.0,790.0,91.0,59.0,14.0,5.0,0.0,0.0,90.0,60.0,80.0,54.0,10.0,6.0,1784627695697.0,1784627696608.0,195.0,36.0,103.0,42.0,39.0,539.0,94.0,55.0,454.0,30.0,15.0,45.0,shared,inventory_only,,,,657.0,726.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,1.0,1.043,1.22,1.325,0.98,1.008,21.0,1900.0,332000.894,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,False,0.21999999999999997,0.28200000000000003,111.0,111.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_095136_precopy_stream_745e1e\runs\0014,0014,14,20260721_095500_precopy_14_331934,precopy,stream,ok,2026-07-21T09:55:00Z,2026-07-21T09:55:15Z,,True,True,False,20260721_095136_precopy_stream_745e1e,/mnt/criu/runs/batches/20260721_095136_precopy_stream_745e1e,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_095136_precopy_stream_745e1e\runs\0014\summary.json,,False,,,1784627711882.0,1784627711882.0,events(offset_corrected),769.0,600.0,961.0,1.0,961.0,961.0,961.0,800.0,1049.0,850.0,950.0,790.0,90.0,60.0,14.0,6.0,0.0,0.0,90.0,59.0,79.0,54.0,11.0,5.0,1784627711238.0,1784627712199.0,200.0,35.0,94.0,44.0,36.0,533.0,91.0,55.0,447.0,31.0,13.0,44.0,shared,inventory_only,,,,652.0,720.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,1.0,1.091,1.185,1.508,0.985,1.156,20.0,1912.0,331383.7,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,False,0.18500000000000005,0.41700000000000004,161.0,161.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_095136_precopy_stream_745e1e\runs\0015,0015,15,20260721_095516_precopy_15_b84d4d,precopy,stream,ok,2026-07-21T09:55:16Z,2026-07-21T09:55:31Z,,True,True,False,20260721_095136_precopy_stream_745e1e,/mnt/criu/runs/batches/20260721_095136_precopy_stream_745e1e,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_095136_precopy_stream_745e1e\runs\0015\summary.json,,False,,,1784627727653.0,1784627727653.0,events(offset_corrected),883.0,600.0,1061.0,1.0,1061.0,1061.0,1061.0,850.0,1150.0,900.0,1050.0,840.0,93.0,60.0,16.0,6.0,0.0,0.0,93.0,59.0,81.0,54.0,12.0,5.0,1784627726901.0,1784627727962.0,298.0,35.0,106.0,43.0,33.0,578.0,82.0,49.0,499.0,30.0,14.0,44.0,shared,inventory_only,,,,644.0,713.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,0.91,0.969,1.12,1.725,0.89,1.036,21.0,1991.0,325430.7,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,False,0.21000000000000008,0.7560000000000001,211.0,211.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_095136_precopy_stream_745e1e\runs\0016,0016,16,20260721_095532_precopy_16_be374b,precopy,stream,ok,2026-07-21T09:55:32Z,2026-07-21T09:55:47Z,,True,True,False,20260721_095136_precopy_stream_745e1e,/mnt/criu/runs/batches/20260721_095136_precopy_stream_745e1e,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_095136_precopy_stream_745e1e\runs\0016\summary.json,,False,,,1784627743166.0,1784627743166.0,events(offset_corrected),732.0,550.0,912.0,1.0,912.0,912.0,912.0,750.0,1001.0,800.0,900.0,740.0,90.0,60.0,13.0,6.0,0.0,0.0,90.0,60.0,80.0,55.0,10.0,5.0,1784627742560.0,1784627743472.0,194.0,33.0,94.0,44.0,38.0,518.0,88.0,50.0,436.0,32.0,15.0,47.0,shared,inventory_only,,,,667.0,731.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,1.02,1.061,1.135,1.708,0.96,1.069,20.0,1903.0,331877.271,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,False,0.11499999999999999,0.647,162.0,162.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_095136_precopy_stream_745e1e\runs\0017,0017,17,20260721_095548_precopy_17_366766,precopy,stream,ok,2026-07-21T09:55:48Z,2026-07-21T09:56:03Z,,True,True,False,20260721_095136_precopy_stream_745e1e,/mnt/criu/runs/batches/20260721_095136_precopy_stream_745e1e,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_095136_precopy_stream_745e1e\runs\0017\summary.json,,False,,,1784627759250.0,1784627759250.0,events(offset_corrected),822.0,600.0,961.0,1.0,961.0,961.0,961.0,800.0,1050.0,850.0,950.0,790.0,92.0,60.0,15.0,5.0,0.0,0.0,92.0,59.0,81.0,54.0,11.0,5.0,1784627758554.0,1784627759515.0,294.0,35.0,91.0,45.0,36.0,522.0,86.0,50.0,439.0,33.0,12.0,45.0,shared,inventory_only,,,,649.0,716.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,0.93,0.965,1.07,1.515,0.86,1.0,20.0,1990.0,326766.975,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,False,0.14,0.5499999999999999,161.0,161.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_095136_precopy_stream_745e1e\runs\0018,0018,18,20260721_095603_precopy_18_16ce04,precopy,stream,ok,2026-07-21T09:56:03Z,2026-07-21T09:56:18Z,,True,True,False,20260721_095136_precopy_stream_745e1e,/mnt/criu/runs/batches/20260721_095136_precopy_stream_745e1e,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_095136_precopy_stream_745e1e\runs\0018\summary.json,,False,,,1784627774764.0,1784627774764.0,events(offset_corrected),765.0,600.0,911.0,1.0,911.0,911.0,911.0,800.0,1000.0,850.0,900.0,790.0,91.0,59.0,14.0,5.0,0.0,0.0,91.0,59.0,80.0,54.0,11.0,5.0,1784627774130.0,1784627775041.0,205.0,36.0,100.0,45.0,38.0,545.0,95.0,57.0,458.0,30.0,13.0,43.0,shared,inventory_only,,,,645.0,715.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,0.88,0.97,1.14,1.453,0.96,1.063,20.0,1907.0,331679.667,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,False,0.2599999999999999,0.4830000000000001,111.0,111.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_095136_precopy_stream_745e1e\runs\0019,0019,19,20260721_095619_precopy_19_474efe,precopy,stream,ok,2026-07-21T09:56:19Z,2026-07-21T09:56:34Z,,True,True,False,20260721_095136_precopy_stream_745e1e,/mnt/criu/runs/batches/20260721_095136_precopy_stream_745e1e,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_095136_precopy_stream_745e1e\runs\0019\summary.json,,False,,,1784627790467.0,1784627790467.0,events(offset_corrected),851.0,551.0,1011.0,1.0,1011.0,1011.0,1011.0,800.0,1099.0,850.0,1000.0,790.0,93.0,59.0,16.0,5.0,0.0,0.0,92.0,60.0,82.0,54.0,10.0,6.0,1784627789736.0,1784627790747.0,304.0,34.0,94.0,44.0,38.0,551.0,91.0,53.0,461.0,37.0,13.0,50.0,shared,inventory_only,,,,645.0,715.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,0.97,1.034,1.18,1.241,0.99,1.019,21.0,2000.0,325692.319,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,False,0.20999999999999996,0.20700000000000007,211.0,211.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_095136_precopy_stream_745e1e\runs\0020,0020,20,20260721_095634_precopy_20_166d15,precopy,stream,ok,2026-07-21T09:56:35Z,2026-07-21T09:56:49Z,,True,True,False,20260721_095136_precopy_stream_745e1e,/mnt/criu/runs/batches/20260721_095136_precopy_stream_745e1e,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_095136_precopy_stream_745e1e\runs\0020\summary.json,,False,,,1784627806035.0,1784627806035.0,events(offset_corrected),815.0,550.0,961.0,1.0,961.0,961.0,961.0,750.0,1050.0,800.0,950.0,741.0,92.0,59.0,15.0,5.0,0.0,0.0,92.0,59.0,82.0,54.0,10.0,5.0,1784627805348.0,1784627806309.0,295.0,33.0,99.0,47.0,36.0,514.0,92.0,56.0,432.0,26.0,15.0,41.0,shared,inventory_only,,,,640.0,701.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,0.98,1.033,1.06,1.387,0.92,1.057,20.0,1993.0,326790.936,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,False,0.08000000000000007,0.3540000000000001,211.0,211.0
