method,load,control_run,metric,n,mean,median,std,iqr,min,max,ci_low,ci_high
postcopy,wrk2,False,latency_src_avg_ms,100,10.09868,10.221,0.8012895399720921,0.9742499999999996,7.55,11.895,9.941630136046603,10.255729863953396
postcopy,wrk2,False,latency_dst_avg_ms,100,5.595650000000001,5.667999999999999,0.7704386573553241,0.7967500000000003,2.959,6.717,5.444646797928618,5.746653202071384
postcopy,wrk2,False,latency_vip_avg_ms,100,8.873370000000001,8.986,0.5868924781500363,0.5662499999999984,6.533,9.919,8.758341188002849,8.988398811997154
postcopy,wrk2,False,latency_delta_dst_src_p50_ms,100,-4.27245,-4.17,1.360798097485888,1.6024999999999991,-8.25,-1.295,-4.539161526130297,-4.0057384738697035
postcopy,wrk2,False,dl_avg_bps,0,,,,,,,,
postcopy,wrk2,False,stream_disconnects,100,25.9,26.0,0.7035264706814484,1.0,25.0,29.0,25.762111345529377,26.03788865447062
postcopy,wrk2,False,download_disconnects,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
postcopy,wrk2,False,upload_disconnects,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
precopy,wrk2,False,vip_http_client_visible_total_down_ms,100,1115.32,1061.0,505.8937062468775,101.0,861.0,6061.0,1016.1666555750634,1214.4733444249364
precopy,wrk2,False,vip_http_client_visible_down_segments,100,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
precopy,wrk2,False,vip_http_client_visible_outage_span_ms,100,1115.32,1061.0,505.8937062468775,101.0,861.0,6061.0,1016.1666555750634,1214.4733444249364
precopy,wrk2,False,vip_http_cutover_near_downtime_ms,100,1115.32,1061.0,505.8937062468775,101.0,861.0,6061.0,1016.1666555750634,1214.4733444249364
precopy,wrk2,False,vip_http_downtime_ms,100,1115.32,1061.0,505.8937062468775,101.0,861.0,6061.0,1016.1666555750634,1214.4733444249364
precopy,wrk2,False,vip_l4_downtime_ms,100,930.21,850.0,505.4028755019668,51.0,750.0,5900.0,831.1528566333164,1029.2671433666835
precopy,wrk2,False,http_downtime_ms,100,927.34,881.5,509.7238353096982,105.5,723.0,5921.0,827.4359640731366,1027.2440359268635
precopy,wrk2,False,l4_downtime_ms,100,703.67,650.0,507.320890521567,100.0,550.0,5700.0,604.2369325972941,803.1030674027058
precopy,wrk2,False,vip_http_downphase_ms,100,1104.03,1050.0,505.9192544469936,100.0,850.0,6050.0,1004.8716482198537,1203.1883517801461
precopy,wrk2,False,postcopy_restore_to_readiness_ms,0,,,,,,,,
precopy,wrk2,False,postcopy_readiness_gate_ms,0,,,,,,,,
precopy,wrk2,False,postcopy_warmup_duration_ms,0,,,,,,,,
precopy,wrk2,False,postcopy_cutover_to_health_ok_ms,100,726.12,726.0,19.607399139358105,19.25,687.0,847.0,722.2770203856356,729.9629796143644
precopy,wrk2,False,latency_src_p50_ms,100,8.140999999999998,8.2325,0.9160088548819943,0.5274999999999999,1.42,9.46,7.961465563491149,8.320534436508847
precopy,wrk2,False,latency_dst_p50_ms,100,9.127,9.370000000000001,1.3294314118403696,1.4837500000000006,4.58,11.29,8.866436231287665,9.387563768712337
precopy,wrk2,False,latency_vip_p50_ms,100,9.16545,9.307500000000001,0.9347127509388522,0.9562499999999989,4.485,11.09,8.982249667226949,9.348650332773051
precopy,wrk2,False,latency_src_avg_ms,100,8.92252,9.07,0.8206939350022607,0.48049999999999926,3.704,9.916,8.761666944506512,9.083373055493489
precopy,wrk2,False,latency_dst_avg_ms,100,7.95737,8.1015,0.8836402286204288,0.8710000000000004,4.782,9.679,7.7841796976613225,8.130560302338678
precopy,wrk2,False,latency_vip_avg_ms,100,9.2502,9.379999999999999,0.7342890741693251,0.6392499999999988,4.077,10.295,9.106281986038686,9.394118013961313
precopy,wrk2,False,latency_delta_dst_src_p50_ms,100,0.9860000000000001,1.0224999999999995,1.4615271520439215,1.6549999999999998,-3.8599999999999994,4.545,0.699545941956652,1.272454058043348
precopy,wrk2,False,dl_avg_bps,0,,,,,,,,
precopy,wrk2,False,stream_disconnects,100,17.48,17.0,1.132441717009861,1.0,16.0,27.0,17.258045502006997,17.701954497993004
precopy,wrk2,False,download_disconnects,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
precopy,wrk2,False,upload_disconnects,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
